script_name,status,stderr,png_files,half_name,note
MLS-Aura_L2GP-BrO_v04-23-c03_2016d302.he5_4,Fail,Traceback (most recent call last):,,,
MLS-Aura_L2GP-BrO_v04-23-c03_2016d302.he5_5,Fail,Traceback (most recent call last):,,,
MLS-Aura_L2GP-BrO_v04-23-c03_2016d302.he5_6,Fail,Traceback (most recent call last):,,,
MLS-Aura_L2GP-H2O_v04-20-c01_2013d003.he5_0,Fail,Traceback (most recent call last):,,,
MLS-Aura_L2GP-H2O_v04-20-c01_2013d003.he5_1,Fail,Traceback (most recent call last):,,,
MLS-Aura_L2GP-H2O_v04-20-c01_2013d003.he5_2,Fail,Traceback (most recent call last):,,,
MLS-Aura_L2GP-H2O_v04-20-c01_2013d003.he5_3,Pass,None,,MLS-Aura_L2GP-H2O_v04,
MLS-Aura_L2GP-O3_v04-23-c02_2019d001.he5_0,Fail,Traceback (most recent call last):,,,
MLS-Aura_L2GP-O3_v04-23-c02_2019d001.he5_1,Pass,None,,MLS-Aura_L2GP-O3_v04-,
MOP02J-20131129-L2V19.9.3.he5_0,Fail,Traceback (most recent call last):,,,
MOP02J-20131129-L2V19.9.3.he5_1,Fail,Traceback (most recent call last):,,,
MOP02J-20131129-L2V19.9.3.he5_2,Fail,Traceback (most recent call last):,,,
MOP02J-20131129-L2V19.9.3.he5_3,Pass,None,,MOP02J-20131129,
MOP02N-20180311-L2V19.9.2.he5_0,Fail,Traceback (most recent call last):,,,
MOP02N-20180311-L2V19.9.2.he5_1,Fail,Traceback (most recent call last):,,,
MOP02N-20180311-L2V19.9.2.he5_2,Fail,Traceback (most recent call last):,,,
MOP02N-20180311-L2V19.9.2.he5_3,Pass,None,,MOP02N-20180311,
MOP03T-20131129-L3V5.9.1.he5_0,Fail,Traceback (most recent call last):,,,
MOP03T-20131129-L3V5.9.1.he5_1,Fail,Traceback (most recent call last):,,,
MOP03T-20131129-L3V5.9.1.he5_2,Fail,Traceback (most recent call last):,,,
MOP03T-20131129-L3V5.9.1.he5_3,Fail,Traceback (most recent call last):,,,
MOP03T-20131129-L3V5.9.1.he5_4,Pass,None,,MOP03T-20131129,
MOP03TM-201802-L3V95.9.1.he5_0,Fail,Traceback (most recent call last):,,,
MOP03TM-201802-L3V95.9.1.he5_1,Fail,Traceback (most recent call last):,,,
MOP03TM-201802-L3V95.9.1.he5_2,Fail,Traceback (most recent call last):,,,
MOP03TM-201802-L3V95.9.1.he5_3,Fail,Traceback (most recent call last):,,,
MOP03TM-201802-L3V95.9.1.he5_4,Fail,Traceback (most recent call last):,,,
MOP03TM-201802-L3V95.9.1.he5_5,Fail,Traceback (most recent call last):,,,
MOP03TM-201802-L3V95.9.1.he5_6,Fail,Traceback (most recent call last):,,,
OMI-Aura_L2-OMNO2_2008m0720t2016-o21357_v003-2016m0820t102252.he5_0,Pass,None,,OMI-Aura_L2-OMNO2_2008m0720t2016-,
OMI-Aura_L3-OMTO3e_2017m0105_v003-2017m0203t091906.he5_0,Pass,None,,OMI-Aura_L3-OMTO3e_2017m0105,
Q2011280003000.L2_SCI_V5.0.h5_0,Fail,Traceback (most recent call last):,,,
Q2011280003000.L2_SCI_V5.0.h5_1,Pass,None,,Q2011280003000.,
Q2012034.L3m_DAY_SCI_V5.0_SSS_1deg.h5_0,Fail,Traceback (most recent call last):,,,
Q2012034.L3m_DAY_SCI_V5.0_SSS_1deg.h5_1,Fail,Traceback (most recent call last):,,,
Q2012034.L3m_DAY_SCI_V5.0_SSS_1deg.h5_2,Pass,None,,Q2012034.L3m_DAY_SC,
SBUV2-NOAA17_L2-SBUV2N17L2_2011m1231_v01-02-2013m0828t143157.h5_0,Fail,Traceback (most recent call last):,,,
SBUV2-NOAA17_L2-SBUV2N17L2_2011m1231_v01-02-2013m0828t143157.h5_1,Fail,Traceback (most recent call last):,,,
SBUV2-NOAA17_L2-SBUV2N17L2_2011m1231_v01-02-2013m0828t143157.h5_2,Fail,Traceback (most recent call last):,,,
SBUV2-NOAA17_L2-SBUV2N17L2_2011m1231_v01-02-2013m0828t143157.h5_3,Fail,Traceback (most recent call last):,,,
SBUV2-NOAA17_L2-SBUV2N17L2_2011m1231_v01-02-2013m0828t143157.h5_4,Fail,Traceback (most recent call last):,,,
SBUV2-NOAA17_L2-SBUV2N17L2_2011m1231_v01-02-2013m0828t143157.h5_5,Fail,Traceback (most recent call last):,,,
SBUV2-NOAA17_L2-SBUV2N17L2_2011m1231_v01-02-2013m0828t143157.h5_6,Fail,Traceback (most recent call last):,,,

SMAP_L1A_RADIOMETER_30031_A_20200914T223611_R17000_001.h5_0,Fail,Timeout,,,Failed and not retried

SMAP_L1B_TB_50719_D_20240730T124417_R19240_001.h5_0,Pass,None,,SMAP_L1B_TB_50719_D_20240,
SMAP_L1C_S0_HIRES_02298_A_20150707T160502_R13080_001.h5_0,Fail,Traceback (most recent call last):,,,
